MAC,ssid,lat,lon
00:00:EB:3F:83:67,wifine,,
00:00:EB:48:03:C7,wifine,,
00:00:EB:48:03:E7,wifine,,
00:00:EB:48:43:67,wifine,,
00:00:EB:48:83:87,wifine,,
00:00:EB:48:83:A7,wifine,,
00:00:EB:48:C3:27,wifine,,
00:00:EB:48:C3:87,wifine,,
00:00:EB:55:83:67,wifine,,
00:00:EB:55:C3:47,wifine,,
00:00:EB:55:C3:C7,wifine,,
00:00:EB:55:C3:E7,wifine,,
00:00:EB:56:03:27,wifine,,
00:00:EB:56:03:67,wifine,,
00:00:EB:56:03:E7,wifine,,
00:00:EB:56:43:67,wifine,,
00:00:EB:56:83:27,wifine,,
00:00:EB:56:83:E7,wifine,,
00:00:EB:56:C3:47,wifine,,
00:00:EB:57:03:27,wifine,,
00:00:EB:57:03:47,wifine,,
00:00:EB:57:03:E7,wifine,,
00:00:EB:57:43:47,wifine,,
00:00:EB:57:43:E7,wifine,,
00:00:EB:57:83:27,wifine,,
00:00:EB:57:83:C7,wifine,,
00:00:EB:57:C3:C7,wifine,,
00:00:EB:58:03:07,wifine,,
00:00:EB:58:03:87,wifine,,
00:00:EB:58:43:A7,wifine,,
00:00:EB:58:83:27,wifine,,
00:00:EB:58:C3:A7,wifine,,
00:00:EB:59:C3:E7,wifine,,
00:00:EB:59:C3:F7,wifine,,
00:00:EB:5A:43:E7,wifine,,
00:00:EB:5A:83:07,wifine,,
00:00:EB:5B:03:67,wifine,,
00:00:EB:5B:03:87,wifine,,
00:00:EB:5C:C3:A7,wifine,,
00:00:EB:5C:C3:C7,wifine,,
00:00:EB:5D:83:07,wifine,,
00:00:EB:5D:83:67,wifine,,
00:00:EB:5D:83:A7,wifine,,
00:00:EB:5E:C3:87,wifine,,
00:00:EB:5F:03:07,wifine,,
00:00:EB:5F:03:27,wifine,,
00:00:EB:61:43:07,wifine,,
00:00:EB:61:83:07,wifine,,
00:00:EB:61:83:27,wifine,,
00:00:EB:61:83:87,wifine,,
00:00:EB:63:83:87,wifine,,
00:00:EB:64:03:47,wifine,,
00:00:EB:64:43:67,wifine,,
00:00:EB:64:83:07,wifine,,
00:00:EB:64:83:47,wifine,,
00:00:EB:64:83:67,wifine,,
00:00:EB:64:83:C7,wifine,,
00:00:EB:64:83:D7,wifine,,
00:00:EB:64:83:E7,wifine,,
00:00:EB:64:C3:47,wifine,,
00:00:EB:64:C3:67,wifine,,
00:00:EB:64:C3:87,wifine,,
00:00:EB:64:C3:A7,wifine,,
00:00:EB:64:C3:C7,wifine,,
00:00:EB:64:C3:E7,wifine,,
00:00:EB:65:03:27,wifine,,
00:00:EB:65:03:67,wifine,,
00:00:EB:65:43:07,wifine,,
00:00:EB:65:43:47,wifine,,
00:00:EB:65:43:A7,wifine,,
00:00:EB:65:83:47,wifine,,
00:00:EB:65:C3:A7,wifine,,
00:00:EB:65:C3:E7,wifine,,
00:00:EB:66:03:A7,wifine,,
00:00:EB:66:83:27,wifine,,
00:00:EB:66:83:47,wifine,,
00:00:EB:66:83:E7,wifine,,
00:00:EB:66:C3:47,wifine,,
00:00:EB:67:03:67,wifine,,
00:00:EB:68:83:87,wifine,,
00:00:EB:77:03:07,wifine,,
00:00:EB:77:03:27,wifine,,
00:00:EB:77:03:A7,wifine,,
